,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,0
