,0
0,1
1,4
2,2
3,5
4,3
5,1
6,5
7,4
8,1
9,2
10,3
11,3
12,5
13,4
14,4
15,4
16,5
17,2
18,2
19,2
20,5
21,4
22,1
23,2
24,2
25,5
26,4
27,4
28,1
29,4
30,3
31,4
32,5
33,2
34,3
35,3
36,4
37,1
38,4
39,1
40,3
41,2
42,2
43,5
44,1
45,2
46,4
47,4
48,5
49,2
50,2
51,2
52,3
53,4
54,5
55,4
56,1
57,4
58,4
59,1
60,3
61,2
62,4
63,1
64,2
65,4
66,3
67,4
68,3
69,2
70,1
71,1
72,4
73,5
74,1
75,2
76,3
77,1
78,4
79,3
80,2
81,3
82,3
83,2
84,1
85,4
86,2
87,3
88,4
89,4
90,5
91,4
92,4
93,5
94,5
95,5
96,5
97,3
98,4
99,3
100,3
101,2
102,1
103,1
104,5
105,5
106,2
107,3
108,4
109,2
110,5
111,2
112,3
113,4
114,4
115,2
116,2
117,1
118,5
119,2
120,1
121,1
122,1
123,1
124,1
125,2
126,5
127,5
128,4
129,5
130,3
131,2
132,2
133,5
134,1
135,1
136,3
137,4
138,3
139,1
140,1
141,5
142,5
143,3
144,3
145,3
146,4
147,5
148,3
149,4
150,1
151,2
152,4
153,5
154,5
155,1
156,5
157,4
158,3
159,1
160,5
161,2
162,4
163,3
164,2
165,5
166,2
167,3
168,5
169,4
170,1
171,2
172,1
173,1
174,5
175,2
176,2
177,2
178,2
179,2
180,5
181,1
182,2
183,3
184,4
185,5
186,3
187,2
188,2
189,2
190,2
191,2
192,4
193,4
194,5
195,5
196,3
197,2
198,2
199,4
200,5
201,2
202,3
203,5
204,3
205,1
206,4
207,5
208,5
209,5
210,2
211,5
212,4
213,3
214,1
215,2
216,2
217,1
218,2
219,5
220,3
221,3
222,4
223,5
224,2
225,1
226,5
227,5
228,4
229,3
230,3
231,3
232,3
233,4
234,1
235,1
236,1
237,4
238,2
239,4
240,2
241,4
242,4
243,1
244,5
245,5
246,2
247,5
248,1
249,3
250,1
251,5
252,1
253,5
254,4
255,2
256,5
257,2
258,4
259,1
260,4
261,3
262,3
263,4
264,3
265,3
266,5
267,1
268,3
269,2
270,1
271,1
272,2
273,2
274,5
275,4
276,3
277,5
278,2
279,4
280,3
281,5
282,4
283,5
284,1
285,5
286,4
287,1
288,3
289,5
290,4
291,2
292,3
293,1
294,1
295,5
296,2
297,2
298,5
299,3
300,5
301,2
302,5
303,5
304,2
305,4
306,2
307,2
308,3
309,3
310,1
311,2
312,4
313,5
314,1
315,2
316,1
317,4
318,3
319,1
320,3
321,4
322,1
323,5
324,1
325,4
326,2
327,5
328,5
329,5
330,4
331,5
332,5
333,2
334,4
335,3
336,2
337,5
338,5
339,2
340,2
341,5
342,2
343,2
344,1
345,3
346,5
347,5
348,3
349,3
350,1
351,5
352,3
353,4
354,3
355,3
356,3
357,4
358,5
359,4
360,3
361,5
362,1
363,3
364,1
365,3
366,5
367,3
368,1
369,2
370,1
371,4
372,4
373,2
374,1
375,3
376,1
377,3
378,1
379,4
380,3
381,1
382,5
383,3
384,1
385,2
386,5
387,5
388,3
389,1
390,1
391,1
392,3
393,3
394,3
395,1
396,2
397,1
398,5
399,2
400,5
401,3
402,2
403,4
404,3
405,5
406,5
407,2
408,1
409,4
410,3
411,5
412,4
413,5
414,1
415,5
416,3
417,5
418,3
419,1
420,5
421,4
422,4
423,3
424,4
425,2
426,4
427,4
428,3
429,3
430,3
431,2
